lg05	Htr-GVL-A001522	5.6
lg05	Htr-GVL-A001370	6.3
lg05	Htr-GVL-A001490	6.8
lg05	Htr-GVL-A000354	7.6
lg05	Htr-GVL-A002020	7.7
lg05	Htr-GVL-A001313	7.9
lg05	Htr-GVL-A000276	7.9
lg05	Htr-GVL-A000033	7.9
lg05	Htr-GVL-A000984	8.0
lg05	Htr-GVL-A000108	8.0
lg05	Htr-GVL-A001372	8.2
lg05	Htr-GVL-A001827	8.7
lg05	Htr-GVL-A001043	9.2
lg05	Htr-GVL-A000182	9.2
lg05	Htr-GVL-A001236	10.8
lg05	Htr-GVL-A000431	11.2
lg05	Htr-GVL-A001428	11.3
lg05	Htr-GVL-A000524	14.9
lg05	Htr-GVL-A000619	16.8
lg05	Htr-GVL-A002015	19.0
lg05	Htr-GVL-A001210	21.4
lg06	Htr-GVL-A000357	0.0
lg06	Htr-GVL-A000231	8.6
lg06	Htr-GVL-A002232	11.0
lg06	Htr-GVL-A002256	12.0
lg06	Htr-GVL-A000969	12.0
lg06	Htr-GVL-A000805	12.6
lg06	Htr-GVL-A000156	12.7
lg06	Htr-GVL-A000684	13.0
lg06	Htr-GVL-A001481	13.1
lg06	Htr-GVL-A000312	13.4
lg06	Htr-GVL-A000871	13.9
lg06	Htr-GVL-A000914	14.1
lg06	Htr-GVL-A001764	14.9
lg06	Htr-GVL-A000636	15.4
lg06	Htr-GVL-A001653	15.8
lg06	Htr-GVL-A002030	15.9
lg06	Htr-GVL-A001737	17.0
lg06	Htr-GVL-A000481	17.4
lg06	Htr-GVL-A001941	17.4
lg06	Htr-GVL-A002132	17.7
lg06	Htr-GVL-A001958	17.9
lg06	Htr-GVL-A001570	18.9
lg06	Htr-GVL-A002017	19.1
lg06	Htr-GVL-A001220	20.5
lg06	Htr-GVL-A001751	20.9
lg06	Htr-GVL-A000211	21.0
lg06	Htr-GVL-A000739	21.1
lg06	Htr-GVL-A001054	21.6
lg06	Htr-GVL-A001865	21.9
lg06	Htr-GVL-A000147	22.9
lg06	Htr-GVL-A000977	23.3
lg06	Htr-GVL-A001663	23.6
lg06	Htr-GVL-A000277	24.6
lg06	Htr-GVL-A002266	25.1
lg06	Htr-GVL-A001478	25.3
lg06	Htr-GVL-A001514	26.0
lg06	Htr-GVL-A001945	26.6
lg06	Htr-GVL-A000118	26.8
lg06	Htr-GVL-A000459	26.8
lg06	Htr-GVL-A000200	26.9
lg06	Htr-GVL-A000804	27.0
lg06	Htr-GVL-A000120	27.1
lg06	Htr-GVL-A001843	27.3
lg06	Htr-GVL-A001248	27.3
lg06	Htr-GVL-A001906	27.5
lg06	Htr-GVL-A001308	27.5
lg06	Htr-GVL-A000990	27.8
lg06	Htr-GVL-A000659	28.0
lg06	Htr-GVL-A001243	28.0
lg06	Htr-GVL-A001788	29.4
lg06	Htr-GVL-A001660	29.6
lg06	Htr-GVL-A000492	30.0
lg06	Htr-GVL-A001328	30.0
lg06	Htr-GVL-A000335	36.8
lg07	Htr-GVL-A001040	0.0
lg07	Htr-GVL-A001878	3.0
lg07	Htr-GVL-A001093	5.4
lg07	Htr-GVL-A000379	8.5
lg07	Htr-GVL-A000209	9.2
lg07	Htr-GVL-A001168	9.2
lg07	Htr-GVL-A000490	9.6
lg07	Htr-GVL-A001587	10.3
lg07	Htr-GVL-A000070	10.7
lg07	Htr-GVL-A000387	11.3
lg07	Htr-GVL-A000720	11.7
lg07	Htr-GVL-A001755	11.9
lg07	Htr-GVL-A000167	12.1
lg07	Htr-GVL-A000027	12.3
lg07	Htr-GVL-A000194	13.9
lg07	Htr-GVL-A002285	14.1
lg07	Htr-GVL-A001157	14.2
lg07	Htr-GVL-A001930	14.2
lg07	Htr-GVL-A000020	14.4
lg07	Htr-GVL-A000716	15.4
lg07	Htr-GVL-A001529	16.4
lg07	Htr-GVL-A000238	17.4
lg07	Htr-GVL-A002197	17.5
lg07	Htr-GVL-A001050	19.7
lg07	Htr-GVL-A000396	20.0
